time,true_x,true_z,est_x,est_z
11.2,-0.9490584088721844,-1.7728324374811835,-5.0,5.0
11.232,-0.9490485157583636,-1.7728334344895529,-5.0,5.0
11.264,-0.9490386982727538,-1.7728344214159661,-5.0,5.0
11.296,-0.949028614963757,-1.7728355494515307,-5.0,5.0
11.328,-0.9490184989832786,-1.7728366833411358,-5.0,5.0
11.36,-0.949008615282651,-1.7728376997352133,-5.0,5.0
11.392,-0.9489985658505182,-1.772838813780058,-5.0,5.0
11.424,-0.9489883839212598,-1.772839989242348,-5.0,5.0
11.456,-0.9489782661655004,-1.7728411276513663,-5.0,5.0
11.488,-0.9489687758978452,-1.7728419525026067,-5.0,5.0
11.52,-0.9489588869165428,-1.7728430128099149,-5.0,5.0
11.552,-0.9489489563845114,-1.7728440771392628,-5.0,5.0
11.584,-0.9489384438005353,-1.7728454370516333,-5.0,5.0
11.616,-0.9489292573154717,-1.7728460965654023,-5.0,5.0
11.648,-0.9489190903972344,-1.7728473208824984,-5.0,5.0
11.68,-0.9489088893049399,-1.7728485171799115,-5.0,5.0
11.712,-0.9488992690784175,-1.7728494181578296,-5.0,5.0
11.744,-0.9488898528661519,-1.7728502457167317,-5.0,5.0
11.776,-0.9488792260578034,-1.7728517008481224,-5.0,5.0
11.808,-0.9488697732814488,-1.772852501965291,-5.0,5.0
11.84,-0.948859987072588,-1.7728535313344196,-5.0,5.0
11.872,-0.9488491720148318,-1.7728550698651744,-5.0,5.0
11.904,-0.9488395919273755,-1.7728559319875812,-5.0,5.0
11.936,-0.9488296347483784,-1.7728570477656898,-5.0,5.0
11.968,-0.9488199953097437,-1.7728579861284628,-5.0,5.0
12.0,-0.9488112164785237,-1.7728585043516973,-5.0,5.0
12.032,-0.9488002441525667,-1.772860182482326,-5.0,5.0
12.064,-0.948790777433902,-1.7728609898602203,-5.0,5.0
12.096,-0.9487806047185052,-1.772862230785458,-5.0,5.0
12.128,-0.9487704738894427,-1.7728634183223808,-5.0,5.0
12.16,-0.9487611335916304,-1.7728642074384058,-5.0,5.0
12.192,-0.948751707794826,-1.772865080686204,-5.0,5.0
12.224,-0.9487417065868241,-1.7728662449653327,-5.0,5.0
12.256,-0.9487323502870347,-1.7728670549317533,-5.0,5.0
12.288,-0.9487224062295637,-1.7728681970755034,-5.0,5.0
12.32,-0.9487128801959372,-1.772869099742659,-5.0,5.0
12.352,-0.9487021204903409,-1.7728706522463735,-5.0,5.0
12.384,-0.9486932854623896,-1.772871166731615,-5.0,5.0
12.416,-0.94868281519445,-1.7728726088843794,-5.0,5.0
12.448,-0.9486742458133418,-1.772873006233581,-5.0,5.0
12.48,-0.9486632417532442,-1.772874737221711,-5.0,5.0
12.512,-0.9486539662310846,-1.7728754719393764,-5.0,5.0
