Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta,RMSE
154,0.2566869662069069,-1.8226607664958698,-1.512259275891137,0.41295721718684825,-0.9891125839376734,-1.7252579915247965,0.8480701409597005
155,0.2569830470351291,-1.8175495290388954,-1.5122339957651545,0.48876773694923686,-0.9070477102435889,1.6637383884972374,0.9395412202283305
156,0.2572792570518271,-1.8124382972831583,-1.5122087149342844,0.32170599964229296,-0.7787978691194196,-1.82697468627405,1.035646339198539
157,0.2575755962593854,-1.807327071231903,-1.5121834333978983,0.386550145174019,-0.9227941915507,-0.7305313274196441,0.8938863739339887
158,0.2578720646601106,-1.8022158508884558,-1.5121581511554054,0.3078721627959891,-0.7688566211788143,-1.9758203020477818,1.0345681743798718
159,0.25816866225625484,-1.7971046362562269,-1.5121328682062611,0.47710674252084706,-0.8186277286138559,-0.3548431546694503,1.0026719013612189
160,0.2584653890500412,-1.7919934273387093,-1.51210758454994,0.3488215679214832,-0.8574399542885307,-1.4502973468022036,0.9389113020144122
161,0.25876224504368883,-1.7868822241394797,-1.5120823001859456,0.3581017786835882,-0.8385816064119592,1.5805538651615758,0.953489593297268
162,0.2590592302394396,-1.7817710266621967,-1.512057015113797,0.34540461716212356,-0.9124385875394576,-0.043492472762692067,0.8736099905300527
163,0.2593563446395832,-1.7766598349105927,-1.5120317293330205,0.20443962304493898,-0.8742111712430631,2.9122996006019894,0.9041180436569184
164,0.259653588246482,-1.7715486488884729,-1.512006442843149,0.43194365293609627,-0.7664045992775702,-2.1789154000205753,1.0198031314224114
165,0.2599509610625951,-1.766437468599703,-1.5119811556436997,0.33345980253841884,-0.8591852537328797,2.4886000374844155,0.9102253188941046
166,0.26024846309049976,-1.7613262940482077,-1.5119558677341913,0.4447758457091757,-0.8009860450820419,-1.0070505184212044,0.9779078426521063
167,0.26054609433291187,-1.7562151252379552,-1.5119305791141184,0.3281277141820648,-0.779731824060383,0.8909956352660184,0.97881914203804
168,0.26084385479270317,-1.7511039621729505,-1.5119052897829532,0.3702602082438314,-0.9457059970592195,0.592603669633813,0.812796297119937
169,0.2611417444729155,-1.745992804857223,-1.5118799997401406,0.42937355609718303,-0.8492455771738298,3.114472755457578,0.9123911073658241
170,0.2614397633767726,-1.7408816532948173,-1.5118547089851,0.44150661906090877,-0.766478667584381,-0.008509919614036406,0.9909012317468296
171,0.26173791150768844,-1.7357705074897776,-1.5118294175172018,0.4645548302027963,-0.8726654268121041,0.28107320330577823,0.8866143935221169
172,0.2620361888692715,-1.7306593674461392,-1.511804125335789,0.4375207352628192,-0.6997262904349979,-0.5869868641302151,1.0457618444457653
173,0.2623345954653261,-1.7255482331679177,-1.5117788324401682,0.35934905394033606,-0.824472749022862,-1.4547307605598752,0.906282976382347
174,0.26263313129985,-1.7204371046590932,-1.5117535388295886,0.3336452065488948,-0.6486265259758551,2.4114621487115575,1.0741604309452444
175,0.2629317963770278,-1.715325981923603,-1.5117282445032685,0.25326970834733586,-0.8744484501090681,0.15597908395795687,0.8409330410059993
176,0.2632305907012216,-1.7102148649653333,-1.5117029494603884,0.5042286442848547,-0.723695185992958,1.1680976556915088,1.0155299792871002
177,0.26352951427695825,-1.7051037537881064,-1.5116776537000847,0.5081396896940445,-0.7649698396048071,-1.8427021939773305,0.9714349769877493
